order_id,item_index,invoice_number,invoice_date,order_date,seller_name,seller_tax_id,buyer_name,buyer_tax_id,item_description,item_asin,item_qty,item_unit_price_net,item_vat_rate,item_vat_amount,item_total_gross,subtotal_net,shipping_net,total_vat,total_gross,is_official_invoice,document_type,source_file
171-7380575-6325937,1,ES6AL6DAEUI,2026-01-27,2026-01-26,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,"Arcos Set Cuchillos Mondadores. 3 Piezas Acero Inoxidable. Cuchillos Cocina Peladores Multicolor para Pelar Frutas y Verduras. Mango Ergonómico Polipropileno. Serie Nova. Naranja, Amarillo y Azul.",B0812BKN39,2,6.36,21,2.66,15.38,12.72,0.0,2.66,15.38,True,invoice,20260127_Tax Invoice_171-7380575-6325937.pdf
171-0423206-1136334,1,ES69WXJAEUI,2026-01-25,2026-01-25,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,"GALLINA BLANCA Caldo Casero de Pollo 100% Natural | Elaborado con Pollo Fresco y Verduras de la Huerta, Cocinado a Fuego Lento Durante 3h. Sin Gluten, Sin Conservantes, Bajo en Grasa - 4L",B01IU8MJ7K,1,6.35,10,0.64,6.99,6.35,0.0,0.64,6.99,True,invoice,20260125_Tax Invoice_171-0423206-1136334.pdf
405-2236617-2133903,1,IT60004HS22QLI,2026-01-25,2026-01-25,EATO GmbH,IT00396649998,LAYERONE SLU,ESB67716035,"ReliBeauty Disfraz Hawaiana niña Falda Hawaiana niña con Complementos Hawaianos,130",B0CHVSZ177,1,24.79,0,0.0,24.79,24.79,0.0,0.0,24.79,True,invoice,20260125_Tax Invoice_405-2236617-2133903.pdf
408-3869467-4037163,1,ES67YSPAEUI,2026-01-20,2026-01-19,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,"Dr. Beckmann El Mago Quitamanchas Grasa y Salsas | El quitamanchas especializado combate las manchas de grasa, chocolate, etc. | 50 ml",B00U2R3Y7M,5,2.06,21,,12.45,45.28,0.0,9.45,54.73,True,invoice,20260120_Tax Invoice_408-3869467-4037163_1.pdf
408-3869467-4037163,2,ES67YSPAEUI,2026-01-20,2026-01-19,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,KH-7 Sin Manchas | Quitamanchas Ropa | Elimina Todo Tipo de Manchas | Pulverizador 715 mL,B0CTHLF7BD,10,3.68,21,,44.5,45.28,0.0,9.45,54.73,True,invoice,20260120_Tax Invoice_408-3869467-4037163_1.pdf
408-3188830-2469156,1,ES6000ASV0PRLI,2026-01-19,2026-01-18,TrouleT sl,ESB56296155,LAYERONE SLU,ESB67716035,"STARWAX - Desatascador Especial Cabellos - Disuelve cabellos, pelos y uñas - Curativo y preventivo - Actúa en 10mn - Potasa y Lejía - 900ml - 1 Bote = 3 a 4 desatascos",B09TX3S27Q,1,9.9,21,2.08,11.98,9.9,0.0,2.08,11.98,True,invoice,20260119_Tax Invoice_408-3188830-2469156.pdf
408-7392553-7169150,1,PT-2026/33,2026-01-19,2026-01-19,"LTE, LDA",PT513858636,LAYERONE SLU,ESB67716035,"HAPPY MEOW Arena de Tofu para Gatos (18L/7,5Kg) - Natural y Biodegradable - Aglomerante Instantáneo, Bajo en Polvo, Control de Olores, Duradero, Ultra Absorbente, Desechable en el Inodoro (Lavanda)",B0D1361WCD,3,31.38,0,0.0,94.14,94.14,0.0,0.0,84.73,True,invoice,20260119_Tax Invoice_408-7392553-7169150.pdf
408-0225596-4333934,1,ES60001KWSKPHI,2026-01-19,2026-01-18,Didactic Sell S.L.U.,ESB72532922,LAYERONE SLU,ESB67716035,"STARWAX - Desatascador Especial Cabellos - Disuelve cabellos, pelos y uñas - Curativo y preventivo - Actúa en 10mn - Potasa y Lejía - 900ml",B09TX3S27Q,1,13.07,21,2.75,15.82,13.07,0.0,2.75,15.82,True,invoice,20260119_Tax Invoice_408-0225596-4333934.pdf
408-4939894-7623528,1,ES600005JCUHNI,2026-01-19,2026-01-19,Farmacia Palomar,ES53093327N,LAYERONE SLU,ESB67716035,Crema para el Contorno de Ojos Caudalie Resveratrol Lift 15 ml,B0CHJXBZWB,1,33.8,21,7.1,40.9,112.5,0.0,23.62,136.12,True,invoice,20260119_Tax Invoice_408-4939894-7623528.pdf
408-4939894-7623528,2,ES600005JCUHNI,2026-01-19,2026-01-19,Farmacia Palomar,ES53093327N,LAYERONE SLU,ESB67716035,CAUDALIE Resveratrol-Lift Instant Firming Serum 30 ml,B0CHJSM3RS,2,39.35,21,16.53,95.22,112.5,0.0,23.62,136.12,True,invoice,20260119_Tax Invoice_408-4939894-7623528.pdf
171-9667617-1953910,1,ES66VJ1AEUI,2026-01-18,2026-01-18,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,"Dodot Toallitas Pure Aqua Para Bebé, 1152 Toallitas (24 Packs de 48 Unidades), Ayuda A Restaurar El PH Natural De La Piel, 99% Agua, Sin plástico",B0DP7K72L5,1,44.62,21,9.37,53.99,44.62,0.0,9.37,53.99,True,invoice,20260118_Tax Invoice_171-9667617-1953910.pdf
171-0864699-9143506,1,ES60003BZM2KPI,2026-01-18,2026-01-18,"PETKIT Network Technology (Shanghai) Co., Ltd",ESN0084604H,LAYERONE SLU,ESB67716035,"PETKIT Eliminador de Olores para Arenero Gatos Autolimpiable Pura MAX 2 y PUROBOT MAX PRO 2, Control de Olores de Inodoro para Gatos (Paquete de 3)",B0D86BT8K1,2,23.55,0,0.0,47.1,47.1,0.0,0.0,47.1,True,invoice,20260118_Tax Invoice_171-0864699-9143506.pdf
